t,Va,Vb,Vc,Ia,Ib,Ic,Fault
0.0,123.673155,-318.7146098,195.0414548,3827.709068,-9954.681312,6126.972245,0
0.0001,132.9284219,-319.8515249,186.9231029,4117.440004,-9991.463731,5874.023726,0
0.0002,142.0526608,-320.6728263,178.6201655,4403.112401,-10018.38707,5615.274666,0
0.0003,151.0368331,-321.1776945,170.1408614,4684.443276,-10035.42447,5350.981195,0
0.0004,159.8720462,-321.3656244,161.4935782,4961.154162,-10042.55891,5081.40475,0
0.0005,168.5495599,-321.2364251,152.6868651,5232.971329,-10039.78318,4806.811848,0
0.0006,177.0607944,-320.7902196,143.7294252,5499.626019,-10027.09987,4527.473854,0
0.0007,185.3973373,-320.0274451,134.6301078,5760.854677,-10004.52141,4243.666733,0
0.0008,193.5509514,-318.9488516,125.3979001,6016.39919,-9972.069989,3955.670799,0
0.0009,201.5135824,-317.5555015,116.0419191,6266.007124,-9929.777572,3663.770448,0
0.001,209.2773659,-315.8487684,106.5714024,6509.431953,-9877.685845,3368.253892,0
0.0011,216.8346353,-313.8303352,96.99569985,6746.433297,-9815.846177,3069.412881,0
0.0012,224.1779286,-311.5021929,87.32426425,6976.777147,-9744.319567,2767.54242,0
0.0013,231.299996,-308.8666383,77.56664231,7200.23609,-9663.176576,2462.940487,0
0.0014,238.1938066,-305.9262719,67.73246532,7416.589525,-9572.497266,2155.90774,0
0.0015,244.8525552,-302.6839949,57.83143976,7625.623884,-9472.37111,1846.747226,0
0.0016,251.2696689,-299.1430067,47.8733378,7827.132829,-9362.896909,1535.76408,0
0.0017,257.4388139,-295.3068015,37.86798768,8020.917461,-9244.182693,1223.265232,0
0.0018,263.3539009,-291.179165,27.82526412,8206.786511,-9116.34561,909.5590988,0
0.0019,269.0090919,-286.7641705,17.75507857,8384.556528,-8979.511815,594.9552871,0
0.002,274.3988053,-282.0661748,7.667369491,8554.052056,-8833.816341,279.7642851,0
0.0021,279.5177217,-277.0898143,-2.427907472,8715.105812,-8679.40297,-35.70284238,0
0.0022,284.3607891,-271.8399999,-12.52078925,8867.558845,-8516.424086,-351.1347596,0
0.0023,288.9232276,-266.3219124,-22.6013152,9011.260694,-8345.040526,-666.2201679,0
0.0024,293.2005345,-260.5409976,-32.65953691,9146.069537,-8165.421426,-980.6481109,0
0.0025,297.1884885,-254.5029604,-42.68552803,9271.852328,-7977.744044,-1294.108283,0
0.0026,300.8831537,-248.2137597,-52.66939401,9388.484931,-7782.193597,-1606.291334,0
0.0027,304.2808839,-241.679602,-62.60128192,9495.852241,-7578.963066,-1916.889174,0
0.0028,307.3783259,-234.9069358,-72.47139011,9593.848296,-7368.253017,-2225.59528,0
0.0029,310.1724229,-227.9024449,-82.26997796,9682.376386,-7150.271393,-2532.104994,0
0.003,312.6604172,-220.6730418,-91.98737539,9761.349142,-6925.233315,-2836.115827,0
0.0031,314.8398536,-213.2258612,-101.6139925,9830.688626,-6693.36087,-3137.327756,0
0.0032,316.7085812,-205.5682523,-111.1403289,9890.326407,-6454.882886,-3435.443521,0
0.0033,318.2647558,-197.7077724,-120.5569833,9940.203631,-6210.034713,-3730.168917,0
0.0034,319.5068415,-189.6521789,-129.8546626,9980.271072,-5959.057986,-4021.213086,0
0.0035,320.4336126,-181.4094216,-139.024191,10010.48919,-5702.200389,-4308.288801,0
0.0036,321.0441544,-172.987635,-148.0565194,10030.82816,-5439.715408,-4591.112753,0
0.0037,321.3378644,-164.3951306,-156.9427339,10041.26791,-5171.862086,-4869.405829,0
0.0038,321.3144528,-155.640388,-165.6740648,10041.79815,-4898.90476,-5142.893387,0
0.0039,320.9739427,-146.7320472,-174.2418955,10032.41833,-4621.112806,-5411.305528,0
0.004,320.31667,-137.6788995,-182.6377705,10013.13773,-4338.760373,-5674.377361,0
0.0041,319.3432835,-128.4898794,-190.853404,9983.975373,-4052.126107,-5931.849266,0
0.0042,318.0547437,-119.1740553,-198.8806883,9944.960031,-3761.492881,-6183.467149,0
0.0043,316.4523223,-109.7406208,-206.7117014,9896.130211,-3467.147517,-6428.982695,0
0.0044,314.5376006,-100.1988856,-214.338715,9837.534104,-3169.380496,-6668.153608,0
0.0045,312.3124683,-90.55826614,-221.7542022,9769.229535,-2868.48568,-6900.743855,0
0.0046,309.7791213,-80.82827663,-228.9508447,9691.283913,-2564.760014,-7126.523899,0
0.0047,306.9400598,-71.01851936,-235.9215404,9603.774162,-2258.50324,-7345.270921,0
0.0048,303.7980854,-61.13867539,-242.65941,9506.786642,-1950.017596,-7556.769045,0
0.0049,300.3562991,-51.19849492,-249.1578041,9400.417068,-1639.60752,-7760.809548,0
0.005,296.6180973,-41.20778773,-255.4103095,9284.770416,-1327.57935,-7957.191066,0
0.0051,292.5871692,-31.17641342,-261.4107558,9159.960813,-1014.241019,-8145.719794,0
0.0052,288.267493,-21.11427176,-267.1532212,9026.111431,-699.9017543,-8326.209677,0
0.0053,283.6633316,-11.03129286,-272.6320387,8883.354365,-384.8717713,-8498.482594,0
0.0054,278.7792287,-0.937427409,-277.8418012,8731.830498,-69.46196636,-8662.368531,0
0.0055,273.6200043,9.157363172,-282.7773675,8571.689365,246.0163892,-8817.705754,0
0.0056,268.1907501,19.24311654,-287.4338666,8403.089007,561.2519563,-8964.340963,0
0.0057,262.4968239,29.30987928,-291.8067032,8226.195812,875.9336354,-9102.129447,0
0.0058,256.5438451,39.3477167,-295.8915618,8041.184352,1189.750874,-9230.935226,0
0.0059,250.3376885,49.34672268,-299.6844112,7848.237211,1502.393972,-9350.631183,0
0.006,243.8844788,59.2970294,-303.1815082,7647.544805,1813.554388,-9461.099193,0
0.0061,237.1905846,69.18881711,-306.3794017,7439.305192,2122.925045,-9562.230238,0
0.0062,230.2626119,79.01232381,-309.2749357,7223.723881,2430.200632,-9653.924513,0
0.0063,223.1073978,88.75785489,-311.8652527,7001.013623,2735.077904,-9736.091527,0
0.0064,215.7320036,98.41579268,-314.1477963,6771.394208,3037.255984,-9808.650192,0
0.0065,208.143708,107.976606,-316.120314,6535.092241,3336.436659,-9871.5289,0
0.0066,200.3499997,117.4308594,-317.7808591,6292.340924,3632.324674,-9924.665598,0
0.0067,192.3585701,126.7692227,-319.1277929,6043.379823,3924.628024,-9968.007847,0
0.0068,184.1773059,135.9824801,-320.159786,5788.454634,4213.058239,-10001.51287,0
0.0069,175.8142809,145.0615392,-320.8758201,5527.816936,4497.330674,-10025.14761,0
0.007,167.2777484,153.9974401,-321.2751885,5261.723947,4777.164787,-10038.88873,0
0.0071,158.576133,162.7813642,-321.3574971,4990.438269,5052.284415,-10042.72268,0
0.0072,149.7180221,171.4046426,-321.1226647,4714.227628,5322.418048,-10036.64568,0
0.0073,140.7121575,179.8587654,-320.5709229,4433.36461,5587.299097,-10020.66371,0
0.0074,131.5674271,188.1353893,-319.7028164,4148.126395,5846.666157,-9994.792552,0
0.0075,122.2928555,196.2263462,-318.5192017,3858.794476,6100.263263,-9959.057739,0
0.0076,112.8975956,204.1236515,-317.0212471,3565.654391,6347.840145,-9913.494536,0
0.0077,103.3909194,211.8195114,-315.2104308,3268.995432,6589.152476,-9858.147908,0
0.0078,93.78220888,219.3063309,-313.0885398,2969.110367,6823.962109,-9793.072476,0
0.0079,84.08094663,226.5767216,-310.6576683,2666.295145,7052.037315,-9718.33246,0
0.008,74.29670663,233.6235085,-307.9202151,2360.848609,7273.153012,-9634.001621,0
0.0081,64.43914476,240.4397371,-304.8788819,2053.072198,7487.090984,-9540.163182,0
0.0082,54.51798923,247.0186808,-301.53667,1743.26965,7693.640102,-9436.909752,0
0.0083,44.54303103,253.3538468,-297.8968778,1431.746702,7892.596526,-9324.343228,0
0.0084,34.52411424,259.4389832,-293.9630974,1118.81079,8083.76391,-9202.5747,0
0.0085,24.47112631,265.2680846,-289.7392109,804.7707442,8266.953595,-9071.724339,0
0.0086,14.39398834,270.8353984,-285.2293868,489.9364839,8441.984795,-8931.921279,0
0.0087,4.302645244,276.1354304,-280.4380757,174.6187128,8608.684775,-8783.303488,0
0.0088,-5.792944045,281.1629501,-275.370006,-140.8713888,8766.889023,-8626.017634,0
0.0089,-15.88281639,285.9129959,-270.0301795,-456.22247,8916.441409,-8460.218939,0
0.009,-25.95701432,290.38088,-264.4238657,-771.1233177,9057.194345,-8286.071027,0
0.0091,-36.00559581,294.5621934,-258.5565975,-1085.263162,9189.008923,-8103.74576,0
0.0092,-46.01864412,298.4528093,-252.4341652,-1398.331986,9311.755058,-7913.423072,0
0.0093,-55.98627758,302.0488884,-246.0626109,-1710.020828,9425.311616,-7715.290788,0
0.0094,-65.89865935,305.3468817,-239.4482224,-2020.022089,9529.566529,-7509.54444,0
0.0095,-75.74600709,308.3435345,-232.5975275,-2328.029834,9624.41691,-7296.387076,0
0.0096,-85.51860267,311.0358895,-225.5172868,-2633.740098,9709.769154,-7076.029056,0
0.0097,-95.20680171,313.4212896,-218.2144879,-2936.851181,9785.539028,-6848.687847,0
0.0098,-104.8010431,315.4973807,-210.6963376,-3237.06395,9851.651756,-6614.587806,0
0.0099,-114.2918586,317.262114,-202.9702554,-3534.08213,9908.042094,-6373.959964,0
0.01,-123.6698817,318.7137479,-195.0438661,-3827.6126,9954.65439,-6127.04179,0
0.0101,-132.9258577,319.8508498,-186.9249921,-4117.365682,9991.442644,-5874.076962,0
0.0102,-142.0506518,320.6722975,-178.6216457,-4403.055424,10018.37055,-5615.315127,0
0.0103,-151.0352591,321.1772804,-170.1420212,-4684.399884,10035.41153,-5351.011651,0
0.0104,-159.8708129,321.3653001,-161.4944872,-4961.12141,10042.54878,-5081.427369,0
0.0105,-168.5485934,321.236171,-152.6875776,-5232.946911,10039.77524,-4806.82833,0
0.0106,-177.0600369,320.7900206,-143.7299837,-5499.608128,10027.09366,-4527.485528,0
0.0107,-185.3967434,320.0272892,-134.6305458,-5760.841898,10004.51654,-4243.674642,0
0.0108,-193.5504858,318.9487295,-125.3982437,-6016.390416,9972.066176,-3955.675759,0
0.0109,-201.5132172,317.5554059,-116.0421887,-6266.001486,9929.774585,-3663.773099,0
0.011,-209.2770794,315.8486935,-106.5716141,-6509.428772,9877.683505,-3368.254734,0
0.0111,-216.8344103,313.8302765,-96.99586617,-6746.43204,9815.844345,-3069.412305,0
0.0112,-224.1777519,311.5021469,-87.32439503,-6976.777397,9744.318131,-2767.540734,0
0.0113,-231.2998571,308.8666024,-77.56674525,-7200.23752,9663.175452,-2462.937932,0
0.0114,-238.1936973,305.9262437,-67.73254647,-7416.59188,9572.496385,-2155.904505,0
0.0115,-244.852469,302.6839729,-57.83150384,-7625.626963,9472.37042,-1846.743457,0
0.0116,-251.2696009,299.1429894,-47.8733885,-7827.136475,9362.896369,-1535.759894,0
0.0117,-257.4387601,295.306788,-37.86802791,-8020.921551,9244.182269,-1223.260718,0
0.0118,-263.3538583,291.1791544,-27.82529614,-8206.790949,9116.345278,-909.554329,0
0.0119,-269.009058,286.7641621,-17.75510417,-8384.561238,8979.511555,-594.9503168,0
0.012,-274.3987782,282.0661683,-7.667390055,-8554.05698,8833.816137,-279.7591575,0
0.0121,-279.5177,277.0898092,2.427890845,-8715.110903,8679.40281,35.70809298,0
0.0122,-284.3607716,271.8399959,12.52077571,-8867.564067,8516.42396,351.1401068,0
0.0123,-288.9232134,266.3219093,22.60130408,-9011.266018,8345.040428,666.2255904,0
0.0124,-293.2005229,260.5409952,32.65952769,-9146.074941,8165.421349,980.6535927,0
0.0125,-297.1884788,254.5029585,42.68552029,-9271.857795,7977.743984,1294.113811,0
0.0126,-300.8831456,248.2137582,52.66938743,-9388.490447,7782.193549,1606.296898,0
0.0127,-304.2808771,241.6796008,62.60127624,-9495.857796,7578.963029,1916.894767,0
0.0128,-307.3783201,234.9069349,72.47138516,-9593.853882,7368.252987,2225.600895,0
0.0129,-310.1724178,227.9024442,82.26997356,-9682.381996,7150.271369,2532.110626,0
0.013,-312.6604127,220.6730413,91.98737143,-9761.35477,6925.233297,2836.121473,0
0.0131,-314.8398496,213.2258607,101.6139889,-9830.694268,6693.360855,3137.333413,0
0.0132,-316.7085775,205.568252,111.1403256,-9890.332061,6454.882875,3435.449186,0
0.0133,-318.2647524,197.7077722,120.5569802,-9940.209293,6210.034704,3730.174589,0
0.0134,-319.5068383,189.6521787,129.8546596,-9980.276741,5959.057979,4021.218763,0
0.0135,-320.4336096,181.4094214,139.0241882,-10010.49486,5702.200383,4308.294481,0
0.0136,-321.0441515,172.9876349,148.0565166,-10030.83384,5439.715403,4591.118437,0
0.0137,-321.3378617,164.3951305,156.9427312,-10041.2736,5171.862082,4869.411515,0
0.0138,-321.3144502,155.6403879,165.6740622,-10041.80383,4898.904756,5142.899075,0
0.0139,-320.9739401,146.7320471,174.2418929,-10032.42402,4621.112804,5411.311217,0
0.014,-320.3166674,137.6788995,182.637768,-10013.14342,4338.760371,5674.383052,0
0.0141,-319.3432809,128.4898794,190.8534016,-9983.981063,4052.126105,5931.854958,0
0.0142,-318.0547412,119.1740553,198.8806859,-9944.965722,3761.49288,6183.472842,0
0.0143,-316.4523198,109.7406208,206.711699,-9896.135903,3467.147515,6428.988388,0
0.0144,-314.5375981,100.1988856,214.3387126,-9837.539796,3169.380495,6668.159301,0
0.0145,-312.3124659,90.55826613,221.7541998,-9769.235228,2868.485678,6900.749549,0
0.0146,-309.7791189,80.82827661,228.9508423,-9691.289606,2564.760013,7126.529593,0
0.0147,-306.9400574,71.01851935,235.921538,-9603.779855,2258.503239,7345.276616,0
0.0148,-303.798083,61.13867538,242.6594076,-9506.792335,1950.017595,7556.77474,0
0.0149,-300.3562966,51.19849492,249.1578017,-9400.422762,1639.60752,7760.815243,0
0.015,-296.6180949,41.20778773,255.4103071,-9284.77611,1327.579349,7957.196761,0
0.0151,-292.5871669,31.17641342,261.4107534,-9159.966507,1014.241018,8145.725489,0
0.0152,-288.2674906,21.11427176,267.1532189,-9026.117126,699.9017536,8326.215372,0
0.0153,-283.6633292,11.03129286,272.6320363,-8883.360059,384.8717706,8498.488289,0
